Entity,Range_Ano_Cnt,Point_Ano_Cnt,Anomaly_Rate
87,4,0,0.023065476190476192
88,4,0,0.021577380952380952
89,0,0,0.0
90,4,0,0.024553571428571428
91,2,0,0.008928571428571428
92,4,0,0.023065476190476192
93,6,0,0.031994047619047616
94,2,0,0.008928571428571428
95,4,0,0.020833333333333332
96,1,0,0.005952380952380952
97,5,0,0.031994047619047616
98,5,0,0.026785714285714284
99,4,0,0.023809523809523808
100,5,0,0.028273809523809524
101,7,0,0.04241071428571429
102,7,0,0.04092261904761905
103,7,0,0.03869047619047619
104,4,0,0.023065476190476192
105,5,0,0.033482142857142856
106,8,0,0.04836309523809524
107,3,0,0.01711309523809524
108,4,0,0.028273809523809524
109,7,0,0.036458333333333336
110,10,0,0.05580357142857143
111,8,0,0.044642857142857144
112,13,0,0.08258928571428571
113,5,0,0.027529761904761904
114,5,0,0.026785714285714284
115,3,0,0.01711309523809524
116,6,0,0.033482142857142856
117,6,0,0.031994047619047616
118,5,0,0.025297619047619048
119,6,0,0.03422619047619048
120,4,0,0.020089285714285716
121,5,0,0.027529761904761904
122,7,0,0.03869047619047619
123,8,0,0.046875
124,6,0,0.03273809523809524
125,4,0,0.020833333333333332
126,5,0,0.029017857142857144
127,7,0,0.041666666666666664
128,5,0,0.025297619047619048
129,3,0,0.01711309523809524
130,5,0,0.03125
131,3,0,0.01711309523809524
132,5,0,0.028273809523809524
133,6,0,0.03273809523809524
134,6,0,0.034970238095238096
135,5,0,0.03050595238095238
136,3,0,0.017857142857142856
137,5,0,0.028273809523809524
138,3,0,0.01636904761904762
139,6,0,0.03571428571428571
140,7,0,0.036458333333333336
141,8,0,0.04241071428571429
142,7,0,0.03720238095238095
143,5,0,0.026041666666666668
144,6,0,0.041666666666666664
145,4,0,0.021577380952380952
146,6,0,0.034970238095238096
147,2,0,0.011904761904761904
148,8,0,0.04538690476190476
149,4,0,0.024553571428571428
150,4,0,0.020089285714285716
151,3,0,0.018601190476190476
152,2,0,0.010416666666666666
153,5,0,0.026785714285714284
154,6,0,0.03571428571428571
155,2,0,0.010416666666666666
156,3,0,0.01636904761904762
157,2,0,0.013392857142857142
158,6,0,0.03273809523809524
159,7,0,0.04092261904761905
160,2,0,0.012648809523809524
161,4,0,0.025297619047619048
162,3,0,0.019345238095238096
163,4,0,0.020089285714285716
164,5,0,0.031994047619047616
165,3,0,0.019345238095238096
166,4,0,0.019345238095238096
167,2,0,0.009672619047619048
168,4,0,0.023065476190476192
169,5,0,0.029017857142857144
170,3,0,0.01636904761904762
171,5,0,0.028273809523809524
172,2,0,0.012648809523809524
173,2,0,0.012648809523809524
174,6,0,0.034970238095238096
175,3,0,0.015625
176,2,0,0.011904761904761904
177,5,0,0.02976190476190476
178,2,0,0.011160714285714286
179,4,0,0.023809523809523808
180,3,0,0.01636904761904762
181,6,0,0.033482142857142856
182,5,0,0.028273809523809524
183,6,0,0.036458333333333336
184,5,0,0.03125
185,2,0,0.011160714285714286
186,9,0,0.05282738095238095
187,7,0,0.03794642857142857
188,6,0,0.033482142857142856
189,3,0,0.01711309523809524
190,6,0,0.03422619047619048
191,3,0,0.01636904761904762
192,4,0,0.023809523809523808
193,6,0,0.03273809523809524
194,2,0,0.009672619047619048
195,3,0,0.017857142857142856
196,3,0,0.01636904761904762
197,4,0,0.023065476190476192
198,2,0,0.012648809523809524
199,4,0,0.023809523809523808
200,4,0,0.021577380952380952
